Tab	Feature Name	Feature Explanation
Dashboard	Admin Dashboard	Role-based dashboard for administrators showing key metrics, analytics, and quick actions
Dashboard	Teacher Dashboard	Role-based dashboard for teachers with relevant information and actions
Dashboard	Student Dashboard	Role-based dashboard for students with personalized information
Dashboard	Statistics Cards	Display key metrics like total students, staff, fees collected, and attendance percentage with sparkline charts
Dashboard	Quick Actions	Grid of action buttons for common tasks like Add User, Generate Report, Schedule Event, Send Notice
Dashboard	AI Actions	AI-powered quick actions providing smart insights and recommendations using Gemini AI
Dashboard	Analytics Charts	Visual analytics including attendance trends, fee collection trends, and student growth charts using ReCharts
Dashboard	Recent Activity Timeline	Timeline view of recent system activities and events with icons and timestamps
Dashboard	Role-based Content	Different dashboard content displayed based on user role (admin, teacher, student, etc.)
User Management	User List View	Display all users in a table/grid format with search and filter capabilities
User Management	Add User Dialog	Modal dialog to add new users with form fields for name, email, role, permissions, and department
User Management	Add User with AI	AI-powered feature to extract student data from uploaded images/documents using Gemini Vision API
User Management	Bulk Student Import	Import multiple students at once from AI-extracted data with checkbox selection
User Management	Auto Email Generation	Automatically generate email addresses for students using loopid format: [loopid]@erp.loopverse.in
User Management	Edit User Dialog	Modal dialog to edit existing user details including role, permissions, and department assignments
User Management	User Search	Real-time search functionality to filter users by name, email, or other criteria
User Management	Role Filter	Filter users by role (admin, teacher, student, etc.)
User Management	Permission Management	Assign and manage custom permissions for users based on their role
User Management	Department Assignment	Assign users to specific departments during creation or editing
User Management	User Status Management	Activate or deactivate user accounts
Students	Student List View	Display all students in grid or table view with search and filter options
Students	Student Search	Search students by name, email, student ID, or other identifiers
Students	Edit Student	Edit student information including personal details, academic information, and department
Students	View Student Attendance	View individual student attendance records in calendar format
Students	Department Filter	Filter students by department (for teachers, shows only their assigned departments)
Students	View Mode Toggle	Switch between grid view and table view for student listing
Students	Teacher Department Access	Teachers can only view students from their assigned departments
Attendance	Mark Attendance	Mark attendance for students on a selected date with status options (present, absent, late, excused)
Attendance	Bulk Attendance Marking	Select multiple students and mark their attendance status simultaneously
Attendance	Attendance Calendar	Calendar picker to select the date for marking attendance
Attendance	Department Filter	Filter students by department when marking attendance
Attendance	Student Search	Search for specific students while marking attendance
Attendance	Hide Marked Students	Toggle to hide students who already have attendance marked for the selected date
Attendance	Attendance Records View	View historical attendance records with status indicators
Attendance	Grid/List View Toggle	Switch between grid card view and list view for attendance marking
Attendance	Teacher Department Restriction	Teachers can only mark attendance for students in their assigned departments
Personal Details	View Personal Information	Display student's personal details including name, email, phone, address, date of birth
Personal Details	View Academic Information	Show academic details like student ID, admission date, department, year, and semester
Personal Details	Edit Personal Details	Edit and update personal information if user has edit permissions
Personal Details	Save Changes	Save updated personal details to the database
Personal Details	Form Validation	Validate form inputs before saving changes
Grades & Marks	View All Grades	Display all course grades and marks in a tabular format
Grades & Marks	Failed Courses Tab	View courses where the student has failed with details like course code, name, marks, and semester
Grades & Marks	Absent Details Tab	View examination absent records with course information, exam date, exam type, and reason
Grades & Marks	Malpractice Details Tab	View malpractice records with course details, exam date, description, action taken, and status
Grades & Marks	Grade Statistics	Display overall GPA, total credits, and pass percentage
Grades & Marks	Semester Filter	Filter grades by semester or academic year
Grades & Marks	Grade Breakdown	Show detailed breakdown of marks, maximum marks, credits, and grade for each course
Attendance Details	Attendance Statistics	Display total days, present days, absent days, late days, excused days, and attendance percentage
Attendance Details	Attendance Trend Chart	Line chart showing attendance trends over time with monthly/weekly breakdown
Attendance Details	Status Breakdown	Visual breakdown of attendance status (present, absent, late, excused) using charts
Attendance Details	Detailed Records Table	Table showing all attendance records with date, subject, period, status, and remarks
Attendance Details	Month Filter	Filter attendance records by month
Attendance Details	Attendance Calendar View	Calendar visualization highlighting days with attendance marked
Timetable	Weekly Schedule View	Display weekly timetable with all days of the week and time slots
Timetable	Today's Schedule View	Show only today's classes and schedule
Timetable	Time Slot Details	Display period number, start time, end time, subject name, subject code, teacher name, and room number
Timetable	Class Type Indicators	Show class type (lecture, lab, tutorial, seminar) with different visual indicators
Timetable	Week Navigation	Navigate between different weeks to view schedules
Timetable	Today Highlight	Highlight today's date in the weekly view
Timetable	Subject Information	Display detailed information about each subject including teacher and room assignment
Fee Payment	Payment Summary	Display total fees, paid fees, pending fees, overdue fees, and paid percentage
Fee Payment	Fee Overview Chart	Bar chart showing fee payment status breakdown
Fee Payment	Fee List View	Table showing all fee payments with type, amount, due date, paid date, and status
